Aseguradora;Edad;Precio;Indemnizacion
map_01;1;3,44 €;12.000 €
map_01;2;3,44 €;12.000 €
map_01;3;3,44 €;12.000 €
map_01;4;3,44 €;12.000 €
map_01;5;3,44 €;12.000 €
map_01;6;3,44 €;12.000 €
map_01;7;3,44 €;12.000 €
map_01;8;3,44 €;12.000 €
map_01;9;3,44 €;12.000 €
map_01;10;3,44 €;12.000 €
map_01;11;3,44 €;12.000 €
map_01;12;3,44 €;12.000 €
map_01;13;3,44 €;12.000 €
map_01;14;3,44 €;12.000 €
map_01;15;3,44 €;12.000 €
map_01;16;3,44 €;12.000 €
map_01;17;3,44 €;12.000 €
map_01;18;3,44 €;12.000 €
map_01;19;3,44 €;12.000 €
map_01;20;3,44 €;12.000 €
map_01;21;3,44 €;12.000 €
map_01;22;3,44 €;12.000 €
map_01;23;3,44 €;12.000 €
map_01;24;3,44 €;12.000 €
map_01;25;3,44 €;12.000 €
map_01;26;3,44 €;12.000 €
map_01;27;3,44 €;12.000 €
map_01;28;3,44 €;12.000 €
map_01;29;3,44 €;12.000 €
map_01;30;3,59 €;12.000 €
map_01;31;3,59 €;12.000 €
map_01;32;3,59 €;12.000 €
map_01;33;3,59 €;12.000 €
map_01;34;3,59 €;12.000 €
map_01;35;4,14 €;12.000 €
map_01;36;4,14 €;12.000 €
map_01;37;4,14 €;12.000 €
map_01;38;4,14 €;12.000 €
map_01;39;4,14 €;12.000 €
map_01;40;5,19 €;12.000 €
map_01;41;5,19 €;12.000 €
map_01;42;5,19 €;12.000 €
map_01;43;5,19 €;12.000 €
map_01;44;5,19 €;12.000 €
map_01;45;7,81 €;12.000 €
map_01;46;7,81 €;12.000 €
map_01;47;7,81 €;12.000 €
map_01;48;7,81 €;12.000 €
map_01;49;7,81 €;12.000 €
map_01;50;11,40 €;12.000 €
map_01;51;11,40 €;12.000 €
map_01;52;11,40 €;12.000 €
map_01;53;11,40 €;12.000 €
map_01;54;11,40 €;12.000 €
map_01;55;20,67 €;12.000 €
map_01;56;20,67 €;12.000 €
map_01;57;20,67 €;12.000 €
map_01;58;20,67 €;12.000 €
map_01;59;20,67 €;12.000 €
map_01;60;29,44 €;12.000 €
map_01;61;29,44 €;12.000 €
